"from","to","weight","language"
"25","55",7,"SPA"
"28","55",2,"SPA"
"29","55",1,"SPA"
"47","55",1,"SPA"
"54","55",1,"SPA"
"1","56",130,"SPA"
"3","56",1,"SPA"
"4","56",6,"SPA"
"5","56",2,"SPA"
"6","56",31,"SPA"
"7","56",1,"SPA"
"9","56",1,"SPA"
"10","56",81,"SPA"
"11","56",3,"SPA"
"13","56",9,"SPA"
"14","56",3,"SPA"
"16","56",9,"SPA"
"26","56",2,"SPA"
"34","56",2,"SPA"
"49","56",1,"SPA"
"51","56",1,"SPA"
"1","57",3,"SPA"
"2","57",2,"SPA"
"3","57",8,"SPA"
"4","57",4,"SPA"
"5","57",1,"SPA"
"6","57",2,"SPA"
"7","57",11,"SPA"
"8","57",1,"SPA"
"11","57",1,"SPA"
"12","57",1,"SPA"
"13","57",3,"SPA"
"14","57",1,"SPA"
"16","57",1,"SPA"
"19","57",1,"SPA"
"22","57",1,"SPA"
"27","57",1,"SPA"
"29","57",1,"SPA"
"34","57",3,"SPA"
"36","57",1,"SPA"
"37","57",1,"SPA"
"38","57",3,"SPA"
"45","57",2,"SPA"
"47","57",1,"SPA"
"53","57",1,"SPA"
"1","58",7,"SPA"
"2","58",10,"SPA"
"3","58",15,"SPA"
"4","58",35,"SPA"
"5","58",4,"SPA"
"6","58",2,"SPA"
"7","58",14,"SPA"
"8","58",8,"SPA"
"9","58",2,"SPA"
"10","58",2,"SPA"
"11","58",1,"SPA"
"12","58",12,"SPA"
"13","58",2,"SPA"
"14","58",1,"SPA"
"16","58",1,"SPA"
"19","58",1,"SPA"
"24","58",1,"SPA"
"26","58",2,"SPA"
"27","58",1,"SPA"
"28","58",2,"SPA"
"30","58",1,"SPA"
"32","58",1,"SPA"
"37","58",5,"SPA"
"39","58",2,"SPA"
"40","58",1,"SPA"
"42","58",1,"SPA"
"53","58",1,"SPA"
"54","58",1,"SPA"
