"from","to","weight","language"
"21","55",1,"EUS"
"26","55",1,"EUS"
"39","55",1,"EUS"
"1","56",13,"EUS"
"2","56",1,"EUS"
"3","56",3,"EUS"
"4","56",5,"EUS"
"5","56",1,"EUS"
"7","56",1,"EUS"
"8","56",6,"EUS"
"10","56",3,"EUS"
"11","56",2,"EUS"
"12","56",2,"EUS"
"13","56",1,"EUS"
"14","56",12,"EUS"
"15","56",2,"EUS"
"18","56",2,"EUS"
"19","56",1,"EUS"
"21","56",2,"EUS"
"22","56",14,"EUS"
"28","56",1,"EUS"
"29","56",1,"EUS"
"34","56",1,"EUS"
"37","56",1,"EUS"
"38","56",1,"EUS"
"43","56",1,"EUS"
"45","56",1,"EUS"
"50","56",1,"EUS"
"51","56",2,"EUS"
"1","57",5,"EUS"
"2","57",2,"EUS"
"3","57",1,"EUS"
"4","57",1,"EUS"
"5","57",1,"EUS"
"6","57",2,"EUS"
"7","57",1,"EUS"
"8","57",3,"EUS"
"11","57",1,"EUS"
"12","57",1,"EUS"
"18","57",2,"EUS"
"20","57",1,"EUS"
"21","57",1,"EUS"
"24","57",1,"EUS"
"29","57",6,"EUS"
"40","57",1,"EUS"
"43","57",1,"EUS"
"50","57",1,"EUS"
"1","58",4,"EUS"
"2","58",1,"EUS"
"3","58",4,"EUS"
"4","58",11,"EUS"
"5","58",1,"EUS"
"6","58",2,"EUS"
"7","58",2,"EUS"
"9","58",1,"EUS"
"10","58",3,"EUS"
"12","58",1,"EUS"
"13","58",5,"EUS"
"15","58",1,"EUS"
"16","58",1,"EUS"
"18","58",1,"EUS"
"19","58",6,"EUS"
"20","58",2,"EUS"
"29","58",1,"EUS"
"42","58",2,"EUS"
"43","58",1,"EUS"
"1","59",2,"EUS"
"3","59",1,"EUS"
"5","59",67,"EUS"
"10","59",1,"EUS"
"23","59",71,"EUS"
"1","60",15,"EUS"
"2","60",1,"EUS"
"3","60",1,"EUS"
"6","60",2,"EUS"
"7","60",1,"EUS"
"8","60",5,"EUS"
"9","60",2,"EUS"
"10","60",1,"EUS"
"14","60",6,"EUS"
"17","60",1,"EUS"
"31","60",1,"EUS"
"36","60",1,"EUS"
"38","60",1,"EUS"
"39","60",1,"EUS"
"40","60",3,"EUS"
"45","60",2,"EUS"
"53","60",2,"EUS"
"58","60",1,"EUS"
"1","61",3,"EUS"
"2","61",3,"EUS"
"3","61",2,"EUS"
"4","61",2,"EUS"
"6","61",17,"EUS"
"7","61",2,"EUS"
"8","61",1,"EUS"
"12","61",7,"EUS"
"13","61",2,"EUS"
"14","61",1,"EUS"
"16","61",1,"EUS"
"21","61",6,"EUS"
"24","61",2,"EUS"
"30","61",1,"EUS"
"35","61",1,"EUS"
"37","61",5,"EUS"
"41","61",1,"EUS"
"53","61",2,"EUS"
"58","61",1,"EUS"
"1","62",9,"EUS"
"3","62",39,"EUS"
"4","62",4,"EUS"
"5","62",13,"EUS"
"7","62",1,"EUS"
"10","62",3,"EUS"
"11","62",1,"EUS"
"14","62",1,"EUS"
"19","62",1,"EUS"
"20","62",1,"EUS"
"22","62",2,"EUS"
"34","62",1,"EUS"
"35","62",1,"EUS"
"38","62",1,"EUS"
"50","62",1,"EUS"
"54","62",1,"EUS"
"1","63",6,"EUS"
"2","63",2,"EUS"
"4","63",8,"EUS"
"6","63",2,"EUS"
"7","63",3,"EUS"
"8","63",16,"EUS"
"9","63",2,"EUS"
"13","63",2,"EUS"
"15","63",1,"EUS"
"21","63",1,"EUS"
"26","63",1,"EUS"
"32","63",1,"EUS"
"38","63",1,"EUS"
"40","63",1,"EUS"
"53","63",5,"EUS"
"58","63",3,"EUS"
"1","64",5,"EUS"
"3","64",18,"EUS"
"4","64",22,"EUS"
"5","64",10,"EUS"
"7","64",4,"EUS"
"8","64",1,"EUS"
"10","64",6,"EUS"
"11","64",2,"EUS"
"12","64",1,"EUS"
"13","64",7,"EUS"
"14","64",1,"EUS"
"19","64",1,"EUS"
"20","64",1,"EUS"
"21","64",1,"EUS"
"23","64",1,"EUS"
"30","64",1,"EUS"
"35","64",2,"EUS"
"41","64",1,"EUS"
"42","64",2,"EUS"
"44","64",1,"EUS"
"51","64",1,"EUS"
"55","64",1,"EUS"
"1","65",10,"EUS"
"6","65",23,"EUS"
"7","65",1,"EUS"
"8","65",1,"EUS"
"10","65",1,"EUS"
"14","65",6,"EUS"
"16","65",2,"EUS"
"25","65",1,"EUS"
"38","65",1,"EUS"
"46","65",1,"EUS"
"64","65",1,"EUS"
"1","66",19,"EUS"
"2","66",2,"EUS"
"3","66",3,"EUS"
"4","66",1,"EUS"
"5","66",2,"EUS"
"7","66",15,"EUS"
"8","66",2,"EUS"
"9","66",4,"EUS"
"10","66",1,"EUS"
"11","66",4,"EUS"
"12","66",2,"EUS"
"13","66",3,"EUS"
"15","66",1,"EUS"
"16","66",2,"EUS"
"17","66",1,"EUS"
"19","66",1,"EUS"
"20","66",1,"EUS"
"22","66",1,"EUS"
"24","66",1,"EUS"
"47","66",1,"EUS"
"48","66",1,"EUS"
"65","66",1,"EUS"
"1","67",9,"EUS"
"2","67",3,"EUS"
"3","67",3,"EUS"
"4","67",1,"EUS"
"6","67",2,"EUS"
"7","67",41,"EUS"
"8","67",2,"EUS"
"11","67",3,"EUS"
"12","67",1,"EUS"
"13","67",1,"EUS"
