"from","to","weight","language"
"6","47",8,"DEU"
"7","47",5,"DEU"
"8","47",3,"DEU"
"10","47",3,"DEU"
"11","47",4,"DEU"
"12","47",1,"DEU"
"13","47",4,"DEU"
"14","47",4,"DEU"
"15","47",3,"DEU"
"16","47",6,"DEU"
"17","47",5,"DEU"
"18","47",14,"DEU"
"19","47",1,"DEU"
"21","47",4,"DEU"
"22","47",12,"DEU"
"23","47",7,"DEU"
"24","47",27,"DEU"
"25","47",2,"DEU"
"26","47",1,"DEU"
"27","47",2,"DEU"
"28","47",3,"DEU"
"29","47",1,"DEU"
"30","47",1,"DEU"
"31","47",2,"DEU"
"32","47",6,"DEU"
"33","47",1,"DEU"
"34","47",22,"DEU"
"37","47",3,"DEU"
"40","47",9,"DEU"
"41","47",1,"DEU"
"42","47",2,"DEU"
"44","47",2,"DEU"
"45","47",3,"DEU"
"46","47",2,"DEU"
"1","48",17,"DEU"
"2","48",6,"DEU"
"3","48",9,"DEU"
"4","48",3,"DEU"
"5","48",5,"DEU"
"7","48",3,"DEU"
"8","48",1,"DEU"
"9","48",2,"DEU"
"10","48",2,"DEU"
"11","48",5,"DEU"
"12","48",2,"DEU"
"13","48",1,"DEU"
"14","48",1,"DEU"
"15","48",1,"DEU"
"16","48",1,"DEU"
"17","48",8,"DEU"
"18","48",3,"DEU"
"21","48",3,"DEU"
"23","48",1,"DEU"
"24","48",1,"DEU"
"25","48",2,"DEU"
"28","48",10,"DEU"
"30","48",1,"DEU"
"31","48",1,"DEU"
"35","48",1,"DEU"
"37","48",3,"DEU"
"40","48",2,"DEU"
"41","48",1,"DEU"
"42","48",2,"DEU"
"43","48",1,"DEU"
"44","48",1,"DEU"
"1","49",19,"DEU"
"2","49",8,"DEU"
"3","49",3,"DEU"
"6","49",1,"DEU"
"8","49",2,"DEU"
"10","49",1,"DEU"
"11","49",1,"DEU"
"12","49",1,"DEU"
"14","49",3,"DEU"
"15","49",1,"DEU"
"16","49",9,"DEU"
"17","49",2,"DEU"
"19","49",12,"DEU"
"23","49",5,"DEU"
"27","49",5,"DEU"
"28","49",2,"DEU"
"29","49",2,"DEU"
"30","49",1,"DEU"
"33","49",5,"DEU"
"34","49",3,"DEU"
"36","49",1,"DEU"
"37","49",1,"DEU"
"45","49",5,"DEU"
"46","49",1,"DEU"
"48","49",2,"DEU"
"1","50",6,"DEU"
"2","50",4,"DEU"
"3","50",6,"DEU"
"4","50",4,"DEU"
"6","50",1,"DEU"
"7","50",3,"DEU"
"8","50",9,"DEU"
"10","50",2,"DEU"
"11","50",3,"DEU"
"12","50",1,"DEU"
"15","50",1,"DEU"
"16","50",5,"DEU"
"18","50",2,"DEU"
"19","50",1,"DEU"
"21","50",10,"DEU"
"22","50",4,"DEU"
"23","50",24,"DEU"
"24","50",7,"DEU"
"25","50",1,"DEU"
"29","50",2,"DEU"
"31","50",4,"DEU"
"34","50",3,"DEU"
"36","50",1,"DEU"
"40","50",3,"DEU"
"42","50",2,"DEU"
"44","50",2,"DEU"
"46","50",2,"DEU"
"49","50",2,"DEU"
"1","51",5,"DEU"
"2","51",5,"DEU"
"3","51",10,"DEU"
"4","51",2,"DEU"
"5","51",3,"DEU"
"6","51",2,"DEU"
"7","51",3,"DEU"
"8","51",2,"DEU"
"9","51",1,"DEU"
"11","51",1,"DEU"
"12","51",1,"DEU"
"13","51",1,"DEU"
"16","51",6,"DEU"
"17","51",2,"DEU"
"18","51",3,"DEU"
"19","51",6,"DEU"
"20","51",1,"DEU"
"21","51",1,"DEU"
"22","51",2,"DEU"
"23","51",14,"DEU"
"24","51",1,"DEU"
"25","51",1,"DEU"
"27","51",3,"DEU"
"28","51",3,"DEU"
"30","51",6,"DEU"
"34","51",5,"DEU"
"35","51",9,"DEU"
"37","51",4,"DEU"
"39","51",1,"DEU"
"40","51",1,"DEU"
"41","51",1,"DEU"
"44","51",1,"DEU"
"46","51",3,"DEU"
"47","51",4,"DEU"
"48","51",1,"DEU"
"50","51",3,"DEU"
"1","52",12,"DEU"
"2","52",2,"DEU"
"3","52",18,"DEU"
"4","52",2,"DEU"
"5","52",6,"DEU"
"7","52",3,"DEU"
"8","52",6,"DEU"
"11","52",2,"DEU"
"15","52",2,"DEU"
"16","52",2,"DEU"
"17","52",6,"DEU"
"18","52",1,"DEU"
"19","52",11,"DEU"
"20","52",1,"DEU"
"22","52",2,"DEU"
"23","52",2,"DEU"
"24","52",2,"DEU"
"27","52",3,"DEU"
"30","52",3,"DEU"
"31","52",2,"DEU"
"33","52",6,"DEU"
"35","52",7,"DEU"
